Manufacturer|Model|Screen size|CPU Manufacturer|CPU Model|RAM Size|Storage size|Storage Type|System|Color
Apple|MacBook Pro|13.3|Intel|Core i5|8|128|SSD|macOS|Black
Apple|Macbook Air|13.3|Intel|Core i5|8|128|Flash|macOS|White
HP|250 G6|15.6|Intel|Core i5 7200U|8|256|SSD|No OS|Gray
Apple|MacBook Pro|15.4|Intel|Core i7|16|512|SSD|macOS|Blue
Apple|MacBook Pro|13.3|Intel|Core i5|8|256|SSD|macOS|Silver
Acer|Aspire 3|15.6|AMD|A9-Series 9420|4|500|HDD|Windows 10|Silver
Apple|MacBook Pro|15.4|Intel|Core i7|16|256|Flash|Mac OS X|Black
Apple|Macbook Air|13.3|Intel|Core i5|8|256|Flash|macOS|White
Asus|ZenBook UX430UN|14.0|Intel|Core i7 8550U|16|512|SSD|Windows 10|Blue
Acer|Swift 3|14.0|Intel|Core i5 8250U|8|256|SSD|Windows 10|Gray
HP|250 G6|15.6|Intel|Core i5 7200U|4|500|HDD|No OS|Black
HP|250 G6|15.6|Intel|Core i3 6006U|4|500|HDD|No OS|Gold
Apple|MacBook Pro|15.4|Intel|Core i7|16|256|SSD|macOS|Blue
Dell|Inspiron 3567|15.6|Intel|Core i3 6006U|4|256|SSD|Windows 10|Gold
Apple|MacBook 12|12.0|Intel|Core M m3|8|256|SSD|macOS|Gray
Apple|MacBook Pro|13.3|Intel|Core i5|8|256|SSD|macOS|White
Dell|Inspiron 3567|15.6|Intel|Core i7 7500U|8|256|SSD|Windows 10|Gray
Apple|MacBook Pro|15.4|Intel|Core i7|16|512|SSD|macOS|Gold
Lenovo|IdeaPad 320-15IKB|15.6|Intel|Core i3 7100U|8|1|HDD|No OS|Gold
Dell|XPS 13|13.3|Intel|Core i5 8250U|8|128|SSD|Windows 10|Blue
Asus|Vivobook E200HA|11.6|Intel|Atom x5-Z8350|2|32|Flash|Windows 10|Black
Lenovo|Legion Y520-15IKBN|15.6|Intel|Core i5 7300HQ|8|128|SSD|Windows 10|Blue
HP|255 G6|15.6|AMD|E-Series E2-9000e|4|500|HDD|No OS|Silver
Dell|Inspiron 5379|13.3|Intel|Core i5 8250U|8|256|SSD|Windows 10|White
HP|15-BS101nv|15.6|Intel|Core i7 8550U|8|256|SSD|Windows 10|White
Dell|Inspiron 3567|15.6|Intel|Core i3 6006U|4|1|HDD|Windows 10|Gray
Apple|MacBook Air|13.3|Intel|Core i5|8|128|Flash|Mac OS X|Silver
Dell|Inspiron 5570|15.6|Intel|Core i5 8250U|8|256|SSD|Windows 10|Green
Dell|Latitude 5590|15.6|Intel|Core i7 8650U|8|256|SSD|Windows 10|Green
HP|ProBook 470|17.3|Intel|Core i5 8250U|8|1|HDD|Windows 10|Green
Chuwi|LapBook 15.6|15.6|Intel|Atom x5-Z8300|4|64|Flash|Windows 10|White
Asus|E402WA-GA010T|14.0|AMD|E-Series E2-6110|2|32|Flash|Windows 10|Black
HP|17-ak001nv|17.3|AMD|A6-Series 9220|4|500|HDD|Windows 10|Blue
Dell|XPS 13|13.3|Intel|Core i7 8550U|16|512|SSD|Windows 10|Gold
Apple|MacBook Air|13.3|Intel|Core i5|8|256|Flash|Mac OS X|Black
Lenovo|IdeaPad 120S-14IAP|14.0|Intel|Celeron Dual Core N3350|4|64|Flash|Windows 10|Silver
Acer|Aspire 3|15.6|Intel|Core i3 7130U|4|1|HDD|Linux|Blue
